algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,error_message,repetition,hyper_params_id,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC
LSTM-AD,skab,valve1_13,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.391383409500122,,,1.4132978916168213,,0.004214763641357422,0.8762324163986214
LSTM-AD,skab,valve1_14,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.245763301849365,,,1.41217041015625,,0.0038759708404541016,0.9312571970466706
LSTM-AD,skab,valve1_15,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",18.927074670791626,,,1.4302446842193604,,0.004354238510131836,0.9023836700023888
LSTM-AD,skab,valve1_2,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.720421314239502,,,1.3443799018859863,,0.0038928985595703125,0.7193111545358777
LSTM-AD,skab,valve1_3,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.216493606567383,,,1.3684875965118408,,0.0021734237670898438,0.5966974549803974
LSTM-AD,skab,valve1_4,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.261747360229492,,,1.4462673664093018,,0.0016829967498779297,0.5975517948639161
LSTM-AD,skab,valve1_5,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.15399408340454,,,1.34956955909729,,0.0029969215393066406,0.8523986215236592
LSTM-AD,skab,valve1_6,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.15218687057495,,,1.378824234008789,,0.005316495895385742,0.7546687764756299
LSTM-AD,skab,valve1_7,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",18.795741319656372,,,1.3884260654449463,,0.0016469955444335938,0.9047752154670393
LSTM-AD,skab,valve1_8,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.62462282180786,,,1.4111053943634033,,0.0022933483123779297,0.8030376344086021
